Sudoku,Time(s)
.2...1..6...2..54....6.38...3...2..9..6...7..8..9...6...93.8....72..9...4..7...2.,1393
.6.......3.7946...8.1.....217...4......839......2...432.....9.4...4157.6.......1.,1116
..82.1........6.54.5...4.9..96...5....4.3.2....1...63..1.5...2.28.4........1.34..,1230
.21.53......6..3.1..8.9....3.6...1..5...3...6..4...9.5....6.2..8.2..1......78.61.,1648
4....832......4.61...3......4..85...5..4.6..8...71..9......7...73.8......169....5,1652
...92..7...9.7...15.2.1.........9.6.76.....89.1.4.........4.5.26...9.7...9..31...,1137
...3.2..5..4..1.3....4..9.8..2..4.6.3.......7.5.6..3..4.7..6....9.7..4..6..2.5...,1683
.1..3...8.56.....2.9.42........54....6.3.2.9....71........48.1.9.....48.3...6..2.,1660
...34..782.4..7.......8...26.....9.1..9.5.8..8.5.....74...1.......8..7.572..95...,1265
4...62..3....5.19....7......2..3..4..53...21..1..2..6......6....37.4....1..59...7,1440
..71....3........95..32..7...1..8.9.8.9...3.4.5.9..7...8..73..62........3....45..,2016
.3....8.1...6...52....8..3...2..8..74...1...39..2..4...4..7....62...4...8.3....1.,1160
7.....2.4...5.3.1.6..27....35....7......6......6....91....51..2.3.4.2...2.8.....9,1312
.....7.15....2.6.7..91..4....7...9.4.3.....5.1.6...7....5..83..9.1.5....76.2.....,1673
..62...........2651..356....87...9.25.3...6.16.1...87....178..6715...........21..,982
.4.8...1.32..5......8.3..2.78....531...3.8...634....89.6..2.8......8..62.1...3.4.,1024
897...........8..9...9726..3.8....159.6...7.215....9.6..9156...6..8...........567,487
....31.7..4.2...81.9.7....4..6...8..78.....16..1...4..6....8.9.81...5.4..7.14....,730
34.....5..1...3..6..91....8.7..3...993.....645...9..7.7....84..1..7...2..9.....85,846
.9..46..3..4......53....1..4..2.1...3.15.92.4...4.3..8..9....72......6..2..31..9.,983
...53..26.....689...1.8.4......6..32.2.....1.83..7......2.1.6...496.....61..49...,1362
.7..96..881....7....4......2..6.5...5.87.39.6...9.8..5......5....9....636..45..7.,1005
..736..1.9.......6.2...1.7...2..9.85..9.4.6..83.2..7...6.1...3.1.......7.7..264..,939
...8..92.4....95.1.57..6......1...92..3.8.4..59...2......6..84.6.95....3.42..3...,740
7.1..5........9.8..92...6.5.7.38.5..34..9..12..5.61.9.6.7...12..1.7........1..7.6,855
3..95.67.7.9..4....8....5....8..5.676..2.3..853.6..2....4....2....7..9.1.73.29..6,1150
..8....1..541..8....29.6...29..4...68..621..51...9..78...5.96....9..458..6....3..,711
...832...329.....88..5..7..41..7..2....164....3..2..17..2..1..31.....864...786...,867
2....69.7..5.....1...7.2..5.8..2.39..9.548.7..42.6..5.4..2.5...9.....8..6.78....9,893
96...1.....3....715...2.9...284....9.3..8..6.4....683...2.4...681....4.....1...27,3431
.9.23.5..7....8.933.....1..2...9.78.9...7...2.47.2...6..1.....982.7....4..9.42.3.,863
1..4....53..91..6...4...37....2..7.9.2..9..3.4.7..5....59...4...4..59..78....7..2,844
......9..46.2......7.853...1..59..369.8.1.5.465..24..8...162.4......5.89..4......,2932
76....3.9.....6.4.5.2..3....2.14...3.81.6.75.3...95.6....5..9.2.5.2.....2.9....75,966
.3.9........6..1.82.6....976...35.1..87.9.54..9.82...687....2.11.2..8........1.8.,1105
6...2.5...9..75..15..3..9.4.59..2......618......9..31.9.5..3..64..19..8...6.4...3,1039
9..41......7.....6.4.52.....127.....58.....94.....321.....38.7.1.....3......54..1,1031
...........92.53...3..6..8..7.9.4.1...2.1.4...5.8.3.9..8..3..7...47.89...........,1652
..18.4.....4....5127.5......9..324......5......718..2......5.1242....9.....9.76..,939
2......6.....643......81..2.....625.8.4...9.1.523.....9..12......185.....3......7,1094
..734.....3..8...91..6......821......51...63......758......6..73...5..4.....238..,1054
7...6..8..1.5.......972....6.31.....4.1...5.7.....94.6....376.......5.9..7..4...2,1141
....871......45..9..1....4......4.215.8...7.312.9......9....6..7..82......371....,1074
...4.8..6.....152..32.....48..57.2......1......4.92..33.....15..281.....5..7.3...,811
2...9..64..........3145.....52...4..4...8...7..8...91.....2917..........72..4...8,1232
7....83.......492......216...3.....256.....899.....7...587......472.......95....3,1530
..71...4..9..7..6...12.6.....2.......65.9.82.......6.....9.51...7..6..5..5...83..,2571
....8.9.4.3..4....1......78..96...8.6.1...3.5.8...57..41......7....2..5.7.6.9....,1710
.3.7..2...6.2.9.....2.8.4...8........75.9.82........5...8.4.9.....8.5.6...1..6.4.,1997
6....8.9...9..5..8.3......1...81..6...2.5.1...7..32...9......5.1..4..7...8.5....2,1996
.6......13...17.....46...2..28.....3..54.81..7.....26..5...18.....73...24......9.,1425
.5...4..7.9..8..5....6.5..3........858..6..141........3..1.8....6..9..8.9..3...2.,1199
..5...4.3..7..251.6...3.7.8...3...5..1.4.5.3..3...9...1.4.8...5.532..6..9.8...2..,1476
.7..26..92..1374..5...8.73.......3..6..7.1..8..5.......53.1...7..1964..34..37..2.,1065
...........8239...2..7.6.14..1..583.32.....51.953..6..56.4.3..9...8671...........,1042
61.....4...346....974...2.5..5.48....6.....1....69.5..4.7...691....364...2.....38,1010
.8...973..9.....567...5..24...6..3....37.24....7..3...51..3...832.....7..749...1.,589
..2.9.4...9.5.6.......319...81..352..5.....1..641..87...527.......3.9.6...3.1.7..,1638
...76.5...8.2...9...4...2.89.2....54.7..4..3.41....6.28.3...4...4...7.2...9.13...,918
8..76....5...8...1...2.3.8.31.6...47.7.....3.49...7.25.2.8.6...9...7...6....91..3,774
.2.97.1..3..652.9.9.4.3..7.4.........5.7.3.8.........9.4..8.9.7.1.397..2..7.15.6.,889
47..1.9....679...5.1.2367...4.........39.18.........7...5179.6.9...532....4.8..97,666
..7.86.4..8.357..1.9..2.5.7........5.6.7.3.2.9........5.9.3..7.3..461.5..1.57.8..,864
5..86.....67....3.894...5.12...98....4.....8....75...23.2...915.5....84.....85..6,785
...68..4...2..9..35..1..27.6.....73...8...6...71.....5.45..7..69..5..3...6..28...,824
....78.9......9674...41..2.......48...12.35...35.......6..94...8741......1.86....,941
....83..6....74.53..65.......79....1.12...98.4....86.......28..19.75....2..81....,1199
.3.8...5.....958.7....4719.92....7.............3....46.5246....4.173.....8...9.1.,1104
....2.4.......69.5.2.51.....8.2..7.96.4...3.22.3..1.4.....83.5.8.67.......1.6....,1195
.7..........54..73.82..3..6.....59.12...6...59.51.....6..9..54.45..82..........6.,1844
.....7.121...6.....25..4.....63...2...8.7.1...9...85.....1..38.....4...948.7.....,1629
..7..8..1.6..3..7.8..7..5..3..1..6...2..9..3...4..3..5..5..9..7.9..2..4.2..3..9..,1173
.6..3.7..3....6.9.7....28..4....8.....5.6.4.....7....1..81....7.9.6....2..2.5..1.,1387
....73..4.7.9....5.6....1..12...8.....6.2.3.....7...26..9....5.7....5.1.8..41....,1953
...2.......8..36..9...6..7.2..1..5...934.572...4..9..8.5..1...7..28..3.......6...,1154
85..2.9.....63..1..4...9.....5....721...4...393....6.....3...4..8..12.....3.7..51,1092
7..5.......29..6...8....952..81....5...385...2....73..914....8...5..94.......6..7,2115
7.2....5..1..3...4.38...12....4.25.............67.9....57...64.9...2..8..2....7.1,1165
...4..8.289...1...5..78....1......93..3...6..28......1....57..9...6...247.6..3...,948
1.....569..56..4...2.7.......82...3....418....4...91.......4.2...7..63..436.....1,1751
.3..9.6.1...3....48...57...2.9....1...5.4.8...7....3.5...98...64....5...1.8.2..5.,1387
..64....5......7...9.65...3.....24.6.28...15.1.49.....3...27.9...9......7....68..,1625
....17.5......51.9...8..2.6.9......5...741...7......3.8.2..4...3.19......5.68....,1456
32....1.6...3........4...75....1..39..12.75..46..8....69...2........8...1.2....97,1489
1.7..2....3.41....5.68.....9......5....926....8......3.....36.8....69.3....1..7.4,1243
...6..42.....29..1.....375.5......8....768....1......3.371.....1..87.....94..2...,1451
..83....4......6...6.49...1.....67.5.25...89.3.79.....1...23.6...4......2....73..,906
.8...97...1..87..4..5.......796.....8.2...3.6.....492.......4..4..56..1...37...5.,1255
.86..1...2..7...5.47..5..2.7....3.16.........96.4....7.3..4..68.5...9..2...3..74.,739
....6.3.58..4..6.2..4.2..1....2..76...3...1...86..3....1..9.8..7.9..2..63.8.5....,1296
.2.86....1.845.36..75........7......5.3.7.4.2......5........75..59.186.3....23.8.,2921
..7....5......7..1.1.5.2.7..9.4..71.173...425.62..1.3..5.3.6.4.6..9......4....6..,1049
.....7..1..7..65.2.6.3.8.79.8..9...7.1.....5.6...8..2.37.8.5.9.4.51..8..8..2.....,712
..329.....56......21.38.67..6.......94..5..26.......5..21.64.38......56.....139..,1028
4.....1....14.69.......7.4...65..4.8198...3563.5..17...5.3.......38.95....9.....3,821
.193..5..46.5.9..2.5.7......8..5...73.......95...2..4......4.3.8..6.5.24..4..897.,843
..9....43....1.5....5.7492.......3.59.4.2.6.13.7.......4325.8....6.4....12....4..,565
.....26...6...954.1..4.68.32...6.7..4.......9..3.1...63.16.8..7.427...3...93.....,1625
..329.....56......21.38.67..6.......94..5..26.......5..21.64.38......56.....139..,1028
......6.3....82..93.5.4972.......3...32.6.18...6.......4913.2.78..97....6.3......,1175
.8......3.....86..6..3.1..84..7...86826...37191...6..23..2.9..7..94.....7......9.,928
341.2...55.....2...2..8.9........8.17..8.4..24.2........9.7..2...5.....62...6.758,1794
.7..1......984..7......7.26....5.219..3...5..512.8....18.9......9..786......2..5.,862
.3.87.21........834.23...9.....6....75.....36....8.....7...63.432........65.39.2.,1691
....4..5.34...5.....5189.4......6..1.56...93.2..7......6.9147.....6...95.1..7....,1327
159.6..8...6.3...7.8......6.......13.2.3.9.6.69.......8......4.7...2.6...6..4.832,948
2....497...3.27........5.3...6....9.7.96.21.4.5....6...4.2........78.5...654....9,1309
.7.5.9.3.6..........37..4....8....641.4.2.8.773....9....5..81..........6.6.2.1.7.,715
.6.1.2.4...7......4..6....85.....87.8.9.3.6.5.46.....21....5..9......7...7.3.9.6.,1264
8...3.....5.7..41....5.98..3.6....2...5.6.9...9....1.4..36.2....12..7.8.....1...2,1044
5..4........86.42..6...3.7..96...8..4...8...7..3...29..7.2...5..15.37........1..2,1009
.3..16.....6..83..8..45...26.2...9......9......7...1.45...47..1..83..6.....56..3.,1016
4..7....16.8.15........8.9...5...1.2.4..5..8.2.6...7...6.3........47.9.39....6..4,1601
3.......5.812......5...3..8...42.9....9.3.2....5.76...7..6...3......246.8.......1,1520
....9.4...86...3...1.2.6....543........761........472....4.2.8...9...13...5.7....,1112
.94......8.....2.5.3..71....7.9..4.....647.....9..3.7....51..8.2.6.....4......52.,1348
3.54......8.....9...9..8.5....64...22...8...49...17....1.7..8...5.....3......47.6,1707
1....82..49..5...7.8........3.6..4.....491.....4..5.1........6.2...7..53..52....1,1488
5......2..8.5..69.6..83..4.7.5.......2..9..7.......2.6.1..24..7.53..6.8..9......2,964
..9.....2..5.47..6.68..27.........23..3.8.9..69.........76..24.3..59.1..9.....8..,2626
.685........8....29...7.14889........2..1..7........36137.5...96....7........675.,1152
38....49...5....6....2.9....93.256.............249.85....3.4....1....9...36....17,1509
3..........19.8..57..4..8.1.5...4.1....1.2....6.5...2.6.7..1..98..2.64..........6,1173
.7.4...21.5.......2..3.1.9...9..42.....2.6.....89..6...1.6.8..4.......8.78...2.3.,1332
.......6.8...43.1....9....2...8..4.7..41728..6.8..5...7....8....8.76...9.3.......,1858
..2....9.71....84....6.4....47.629.............684.12....7.8....79....53.5....4..,3083
..6..8....8.65.1...3.......8.5..4...2..769..8...8..6.2.......5...8.23.7....1..9..,1674
..6...4..3...84....5....1...6.4.95..4..826..1..23.7.6...1....7....73...2..7...3..,1595
.......3...79...2.35.7..941....4..5.4...5...2.9..7....729..1.83.1...76...8.......,1523
...5..24..1.....68..2..6...427.5.....9.....3.....4.952...7..8..65.....2..39..2...,1471
...5..24..1.....68..2..6...427.5.....9.....3.....4.952...7..8..65.....2..39..2...,1287
..2..3.....5..9.4....47.263.61......5.......1......37.159.46....2.3..4.....2..7..,1761
.8...71...3...5......12.435.64......8.......6......25.678.14......3...2...35...1.,1251
...4......75.2...9.18..57..5..3..2....2...3....9..6..8..65..18.9...1.56......7...,1471
8.2.9..7.1.5..28.....3......2.6..9....9...6....7..4.5......8.....42..1.5.7..1.2.4,1636
..2.5..6.....8.9...4....3..5.461....2..534..8....274.9..5....2...3.7.....6..4.7..,1690
31..........6....768..47.5...29...6.4.......1.6...53...3.49..167....8..........85,1419
35.....2..64..9......5..4......9.846.7.....1.491.6......3..8......4..17..4.....95,1534
473.68...8..2..9.....7..3........5.4.5.....9.6.7........6..3.....8..7..3...48.259,1698
..1....4.....7..2..7..3.8..63.71....5..324..1....98.34..8.4..1..6..5.....2....3..,1528
6...3.48...84..21......5.....3..9..4..9...3..2..7..6.....8......21..47...74.1...6,1434
.7...26........38...3.48.79.......52.8.....1.74.......39.65.8...28........78...6.,2527
5..6....1..9.2......7..3..56....8..2.31.5.86.2..9....47..1..3......9.2..1....5..8,1133
...1..78...2...5.....64..2.9....76..12..6..97..68....1.3..91.....1...2...47..3...,1478
....2...9.4.5....6.8...7.4..2.1...7.1.7.4.5.8.3...9.2..1.4...8.5....8.6.2...9....,937
5...12....62...4...1.68.....5......3..71645..1......2.....75.3...4...95....34...2,1128
...........1.9.4..72.8.5....197...366...5...425...178....4.7.12..8.2.6...........,1012
.....13..37......8..692....64......2..26145..5......46....859..1......24..32.....,1205
....59.8.5.......9..9.6.3..2....64....68752....53....8..2.4.1..4.......7.8.93....,856
..........3.2...1.....73569..3.512..1...2...4..764.3..41279.....9...5.4..........,1025
..2.63..........21...2...8324.6....7...539...6....7.5838...1...46..........78.3..,992
84..7......36.27.8....1......6..4..7.2..3..4.1..5..3......6....3.72.95......5..21,942
...3.16.9.5..9..2..........9.7..651.2...7...3.861..4.2..........6..8..3.1.95.7...,2083
.82....4...927....5...49.....5.....1.2.461.7.9.....2.....51...2....361...4....65.,1050
8...64.........28....8..43..186..5.....947.....6..539..34..2....61.........53...4,838
.8...3..1.1.24.7...2...5..44.......3.5..1..9.2.......88..6...2...3.29.4.9..5...1.,1048
.4...3.6.3..68...7..2........752....4.5.9.6.8....687........2..1...34..5.9.2...7.,871
3..91......9...1...7..4..9..6.4..8...8.153.4...3..7.1..2..6..8...5...6......79..3,736
.7...3.5.....4.6...5.2..8...4.9...3.3.9.5.7.2.1...6.4...2..7.8...4.6.....9.5...7.,892
